bookID,title,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,439785960,9.78044E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,439358078,9.78044E+12,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,439554896,9.78044E+12,eng,352,6333,244,11/1/2003,Scholastic,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,043965548X,9.78044E+12,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,439682584,9.78044E+12,eng,2690,41428,164,9/13/2004,Scholastic,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,976540606,9.78098E+12,en-US,152,19,1,4/26/2005,Nimble Books,W. Frederick Zimmerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Harry Potter Collection (Harry Potter  #1-6),4.73,439827604,9.78044E+12,eng,3342,28242,808,9/12/2005,Scholastic,J.K. Rowling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,517226952,9.78052E+12,eng,815,3628,254,11/1/2005,Gramercy Books,Douglas Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,345453743,9.78035E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,Douglas Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,1400052920,9.7814E+12,eng,215,4930,460,8/3/2004,Crown,Douglas Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,739322206,9.78074E+12,eng,6,1266,253,3/23/2005,Random House Audio,Douglas Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,517149257,9.78052E+12,eng,815,2877,195,1/17/1996,Wings Books,Douglas Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A Short History of Nearly Everything,4.21,076790818X,9.78077E+12,eng,544,248558,9396,9/14/2004,Broadway Books,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bill Bryson's African Diary,3.44,767915062,9.78077E+12,eng,55,7270,499,12/3/2002,Broadway Books,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,767910435,9.78077E+12,eng,256,2088,131,9/14/2004,Broadway Books,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,In a Sunburned Country,4.07,767903862,9.78077E+12,eng,335,72451,4245,5/15/2001,Broadway Books,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,076790382X,9.78077E+12,eng,304,49240,2211,6/28/2000,Broadway Books,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,The Lost Continent: Travels in Small Town America,3.83,60920084,9.78006E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Neither Here nor There: Travels in Europe,3.86,380713802,9.78038E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Notes from a Small Island,3.91,380727501,9.78038E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,The Mother Tongue: English and How It Got That Way,3.93,380715430,9.78038E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,Bill Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,345538374,9.78035E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,J.R.R. Tolkien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,618517650,9.78062E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,J.R.R. Tolkien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,618346252,9.78062E+12,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,J.R.R. Tolkien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,618260587,9.78062E+12,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,J.R.R. Tolkien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,The Lord of the Rings: Weapons and Warfare,4.53,618391002,9.78062E+12,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,Chris   Smith,Richard Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,The Lord of the Rings: Complete Visual Companion,4.5,618510826,9.78062E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,Jude Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Agile Web Development with Rails: A Pragmatic Guide,3.84,097669400X,9.78098E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,Dave Thomas,Leon Breedt,Mike Clark,Thomas  Fuchs,Andreas  Schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
